RollNumber	Course Code	Marks (200)	Grade	Grade Points
5b815041282d207fd1fbb6ccef55c7804032fdeb2c16b2837dcb8f0eaaead73f98bcee75d444a5bd9cbc749a33c305ee036ed1d42e77c24a444eeae21d79d907	CSE228	136	B+	7
88544d1366dbaaf4c8027c8c7ff6fb39e7f5bc44842b8e7f0584312bdcfb0215db741e0dc0372bcb4c45aff467d39cccf9069c2f65177323e4c26a4e0e294503	CSE228	131	B	6
c0220a29f8d78025f0e6cfb591f472799550f250936adc5a724f302eed48be77fa84ba69bf6514b81531eb5dcf721f9c5c3fdaf9e96e859d8e32ab26209d5b2b	CSE228	132	B	6
3087abd8e93a9a80d2f5e84bd2e2d8580b3cc48a9fdb0a9d84a1f4cbf431a2ee3927263234d6b9dbd1275becf09a728dddee21161d2548ed06648cf0394d55dc	CSE228	150	B+	7
d69c0515e2dfa361be0c60a74564b57d93bb7e76443dbf6d8196ed8233e6d3760c60e6e0f5287ddf9bc931b8cabfdd2932b91bf44693f253aab282f6e79ef6bb	CSE228	127	B	6
4dff637421fb73242f6ed3a4a7e75eaa25d006fd50619b91900bd8384d7fbfd6c6fd1c213513b206d75319a0fdcae659d1c6d519333d3e3f8a9ea7f79e35cb1e	CSE228	130	B	6
626cc3709d045083eb04d2371e2ceee51e36e8e6f0b1e148e8520b535bb5be5abc64ec30d0c12a6c60ae67f6895d7f6290b01140eef22e435d881dc8680fb40c	CSE228	133	B+	7
b94526e0f318205cd4246c81966dc2b7937c8373617a295bd63f6db12b52cb101e6e69c1d6fe1dc88422bde39f46fb820f6f222705e5e4d198eba7a8355e940f	CSE228	164	A	8
eda9103431d067d3c366f85834ecb7cf1bf0b7d193bcb4c4417ebe361ff4241faf006ebb055b517a8a752950c8f5a1bf82ef4fefa497618894c5d9f504663970	CSE228	152	A	8
c79796dde5f5cd3b8f21201de21f3c7af1786dc6cdde0f6e57022c4297141c95d87dbbee5f3fd2d3b7f265d7c403dbd28de71dc9205250267bba2aadb2ef2036	CSE228	115	B	6
eb089afae1231f5924fa84ffa595d7ac990a1a8fe1d208f6160c9d93f8248e87a81f545d4259c307c42119ea642bfed435d7c28868df86241bb75a26bd8574dd	CSE228	149	B+	7
886bdc828555556b330c6706e627e643144b57068d6c495e73475378712e2a94dc6b9621640d9fdb112f7e910b8efcc5bc8f0be9d055e4dc7cece1bd9e902fe6	CSE228	148	B+	7
36796bbe47e92b9e022c450b28790dac4c11e39cf6744d99e55ec21b60a6df15bdb56cdde34295c43553db55ba01524dcac3e360acf960119420d4a7ace3b4fb	CSE228	170	A+	9
634d20d86c8fe705bc33b8d6ad6c86e7afe7a15155b3e9694657a69126a9bf1c61e49a090b88eff2fbaa1972384cb2e5ec57493a18711b9c2223c94fcfc1fef2	CSE228	143	B+	7
63f141edc2448ca6ab60fbc34cb7a3032214fac4b7488dc1c6e0dfc7ab34a129c1b3da6c095b81b876c6bf1b98815ddc39ae82d74a22e1844deabbbe4dc94f64	CSE228	137	B+	7
33dc58192e075fa5f621956aa5f5fa3c33f098a8c8c838eb1ea7c626a317c264a8dba0415b05da2161d799fa6fee2c0c2ba440fa46a0866539bcb6aa7dc3e4a5	CSE228	177	A+	9
9873b0c1f3c70ef2bad627f4d6ca1c8a99f4c790e7822c5170ef88c7432068b8762559d63524a77c6f2cea1cbd28db2c027f4d0d5260b807af0adbf0b1420319	CSE228	147	B+	7
67abb64a12f1b165a87c8d18d80725fcc25d77d9b4774bfe46f025545c950e035230f0cb3a64288c513f1bde9d563dc31bacb3a778ade2a2dfab5543df9cc978	CSE228	124	B	6
f6fa0333511258c029226024fe3db64c8a57eec64d1aa229734c25bcc733cdf620feded22fae98d66f4dac4c368e91a9cf7b5b6cd1d5185892d6493b088da3cb	CSE228	166	A	8
3707f1424fce14214eeb0182780779912abb36fda3cdffda969e51621a54db047a6797a9e48f8ae6ca28783c1259b787fd1ff82bf6abc74eaa8482cfacdbf9c5	CSE228	139	B+	7
cad097f36fcace36d8f93baa8613a5fee4505a4187a63292ebe14c7a1b7cbf96f2a4ded365cc759a5fa6593e50a52309c342e16fd50087b17fec15b3f8a7ed98	CSE228	170	A+	9
48b08efcc24fe9c0c7cf755ec4194436c68875721ec4dadcafce219682ba2b5d09dafb4d4d173d7eab620eac229a9f15aecc24502ea94775274a68824d2600f5	CSE228	167	A+	9
77d474af029004f14b9d3cc42a42066f7eb271bad7b788cb7f939caa9b040e979f1b6fc37f480c57f0dce12bb95715b72b3fbc570d66934f2e60d3adcad4e37f	CSE228	129	B	6
61b5e4b996fe82ee293057465e2d46a4074b8a1ed03b44e17a83f179a98e25c591bd9a4fe5cb92e230f473fd23395fdcb80f2dab10d4b82547dfca2b8720aba6	CSE228	137	B+	7
73137c99bb79efaff9705744cd8844d4e99324c73537d286f6cf4e65bcaae7fbd81e0dc6cdac22c43c62b0fd846a242836be2a7b1a6b9505d214ba4c01ff364a	CSE228	147	B+	7
acb779476ee5921ef9114e6682c9925faa1a83e39f078129a50d04808878553d9388844fdd48fb01194fd1d0a0df238044b0ebd78995493412b79dc862dc0b5e	CSE228	161	A	8
7731848c5a9e28c76b04d2d51a109d1986fdab5bcd959b3715c01b17bf8e512a1198157448e27b6f267b7584c4e8e12ad18024359bae0a7fec759344691e5208	CSE228	181	O	10
6bef418892c779412143d4bbcfc0835b0e87a1050056ea55a4123d9ff6478189dbd7d1fa1795ccc1c20bae8cadcfddeaebd4a7343aa464a83cfb1acd1aa421dc	CSE228	127	B	6
33f67bc476e6288c7dd43ea015974e9164c22a968a9a99d03102001f292d3c05bd54c99fddb5ab26e68df8ee677512d1f5ef74b324e8e56ef718ab8d44540dfa	CSE228	171	A+	9
e5129a71060090e6a75d72e867cfa45b7b924d4321a7c0efae371fd49b51a907deacec35d38ddb1a8635b5ce3168f7c14880ca190860d46d53446f90b01bbe3	CSE228	126	B	6
48a20d21b34a2c5cbf10b1b74f507eb18fa71bb9ed1a1c59ca9bb4e5a416071b85db683da1724124d16f5a90ae56d27046ec7454caa014e802f2772aa778eaea	CSE228	160	A	8
a7bee05cd0ded7678d04cf99f1e510f55a2c4380fc82e25baf267ee2e5780553decb0a4b6f25c3afc42d86d12748d0909e9a09f111843079a237d1f639649d2b	CSE228	125	B	6
af2c6ee829bd3ca2f4b2af1d7adac30f3117efcd90837008f24d0ba71ea186ea4cd3107b9a831bd0edce971f95d7a6d1bd3634157818942136ee1a9fbecde846	CSE228	151	B+	7
a7ccad0c4ce6a087a62923fbbb4ae0527d38f71baa4045919c7c3aa0553da3f6c3ee0e0a3d3ae8bc9fbb2d2891342100beb9a173ac382729deb84156a9f63ac0	CSE228	153	A	8
a52063cca422bf8e96c986ac3b6704d3a3cdb31f93c99a8090068fe15c576a44b4cdbbd76e2c624ad7d86b8a834012860a25a95af5a86db89dc8ed4b0583dec9	CSE228	149	B+	7
a819b57f43161b240fccede77867f2ac685a61bae17f58d26b50a3984a7d9b808f53a79eb26122bfa3b7d09a0e48ada86e42b37a30152bc9b188ba13c8e0cbee	CSE228	165	A	8
537a3eadf53f8e24de7f0109462c933f9df87bb447baaffe9293d4d148c0a9e78c03b83e44f2875fd3f43e45428c2dfedeb9f03984d4868ec61ca9ec01cb03be	CSE228	151	B+	7
b24d008f0667a2fe863a5accb6543cc6781d9785bf55fd5034c39b6bc9e8124e507c948c569668ccc50587955c5c43183e590da8d58308e26f34d68cbe43c225	CSE228	179	A+	9
842922936591c78df4504d5ecf6a46849283ff0c8669ac9fc0689ca4732dcfc5dfc243bcbeba9165a36f5d89fe3ff47d4661ac3a404cbda7b3e0eb6dbb8be344	CSE228	166	A	8
d06230dad9b4236f13223bf8ed5a7d80bc547e7827989ac49770bd8ad37900c727251d630c188103faedce7d10f738bf64fe8cf574773fee176d822ef6385792	CSE228	159	A	8
ab3feadcc69133a2685a4374425fa798a5b08f16d9d8ded172ce2a53969c4a4b0672065cf46a12f1ca11af16e6f3f889f00cf96d1c96eac0f1ecf8a99b258a20	CSE228	161	A	8
44c8c180b0ac32346b2c551a6aa42919de2a82662e0349948354bf4ec17b6582fb2217e7b1e0d349bfef0342a03d4894c58bfa8913d400d2d54680f7013ec4bc	CSE228	129	B	6
2b7c65499e866ab1e93ecf0d2dce1fd182675ceb6d7d8003a391779031cc904dd34f70cd6da6e60fcc698839e229aae93a50e76ab3a4a5b466d494ee2c12c412	CSE228	180	A+	9
f5518664ca9256c58d224dbf64e35dc0ad74b13e282f353bbfeaafd7e263c293b00a906513820aac15c6b4531c6e3c6ec7308d5b3570a8ebf4f664b0c72d9e5c	CSE228	161	A	8
c70a07d96b2169b3be95541e623558b733121175bffda331abdd966be4aa1f5a97e5a1ba89dc84bd6f796fc0f0360e222444353a75193dbabcd48f08d5518cb1	CSE228	172	A+	9
23142ff7d0d49e74a9837ea2883307253d52c09d6859e5888532223e11187188cd138be907b719f90ab7085111c51cef3340a34df0c086906756e44c5efea021	CSE228	156	A	8
c33ee8b8944c98ff6189783c181a44a7ae9ebb7769930db3dcf5d71d1966585245ae5a29c13eb6c0b82bd1b5d5ae2c6c653dd7fd98fb3a82e7b966625c8c9341	CSE228	175	A+	9
5cec43c51cff19e2d77d732bb693bd7972a643555f3bf770e04e8454b61521053ffec9c7b089426d564e981c78f6dad5160d7c9f7bcaa815918c5b36c35e7c29	CSE228	171	A+	9
c5f61f9b05d54958ec3f4e69a459b037d4bbc05e1225d5bbc6a0a52cf235770c252c9e096de997e1e4394fa2206f85cd2f14165c13d797b1c7f75ff42ac19107	CSE228	124	B	6
1759ab417a9bbc5b88cfb83d9371675d567e0d3df95f148c5e54032336efe60d4f705bec3c5bf6661b2fb5d9f90d4536d12676363664721d0d774b95d08aaddc	CSE228	128	B	6
57eb92f38973dabc643c2c7c23f1993aedbb107fae346cd1eb90e1f3738e760809df8028e3ddb300a5461ca96c42afefbf8f2379bec66cf537f73322c7b47b15	CSE228	128	B	6
ec366c57dd242528128a0691eef9156ce1de2b7294265b4e412fea3cef38b86577887ca1f20867aceaa11dfed2c5b2aa84c6e31c6d28f4a1f94a6b1c5ae84346	CSE228	100	C	5
bac54abcd10b77de76f77d396dec46592eb16758c7265636698eccb2ff9861cadd95c0bb6617447a1390154c498b22ca9da599dac4ed0265a2cfaeedf4046f97	CSE228	123	B	6
f16a43606ff44c6b71cc6a62df6ae5e4c1d279e068b06a252595985c1cb89c1bfc06ebe6b2de845a5aee38013ec7dbde27139625b3231580d85e567b6be30c92	CSE228	133	B+	7
442507c3e6d69bf6d6b9ab1006df91efa435af645107be03ce1c2436bf29ae26da0414984c226722a5855d51724a243f9099377a9cb831c4dd058343489b7c52	CSE228	150	B+	7
33145bbe28320b9de5c20ef93cd61e5530ecaf4d8f2733a7b48fd1a0af5538e6364e50b728d426f1d2c287e083d6687bd79d3311ae3b6d658d79542993a75831	CSE228	142	B+	7
7af4c141267d8a75aa37fc2eec7952084a3e8c0f8879f6035630a2134ce2edcf68188f53bc5a30d91fda5d0f261d94dcbc3dece5b1364bf53de5a5943bfc5a35	CSE228	184	O	10
dd0440daae67b771d2bcc2585ce1583a14cf433797b6625858072f8e660aefd9abc5c8a1086c6e77facad2344b81e42c1aca50b41d4221661f755be212787f9e	CSE228	117	B	6
8ada22ecad751bf017a7728f93aaac3860447b7fba552d35b53836894fea3ea610e28060a6b74c0c266948384dd61bb78d54620e749bbfa865ae46a13735bafe	CSE228	112	C	5
3813fe6558be4ad3217091e166f651d354ba1d493b983c3ce8a35e9b0bda52607522132d7d98bc65859e7984e1b9444ef760b805d15cc51174345a93966533e8	CSE228	106	C	5
f2abc5db2c0290af86f61eaad97fbae149ccae5fc493b4c4df5071934afc9939663a5db879c774cec9836ca4b1f9c4864dd1ad06fc71e42c0145375d4f8ef58b	CSE228	131	B	6
83d2276824e6d3cf28c2f40e1b193e4fb09fedc6f7481e9dc247740eacd430dcd4fba60a10bdb241ba41a1eb247a067827f40c00ed5a3866e42aec0efd98e5ad	CSE228	159	A	8
5b3552065b3254c6382e68f434b61253d3e17035657bfebfc42491261ea5c2a769af75d0f13f812c640eb2f708be373530f7702ea91e64271851a52670a79b1	CSE228	103	C	5
decd1e9b97011dfa7edc24a8b38f77ea1a0752c7e570cd6cb44db1ab0d1b5b20bb1333fa367c9730938369ea3335c6071cca985f903ca401f6640065809dd9b6	CSE228	157	A	8
24696490f014b89e41c79c9fd9598ead6fdd774cfd84108669dbeb09a4c7a05e27be41f464a48d9b868e67043e858f48cdb2b05bd1aa8264771af5ac9b728b1a	CSE228	153	A	8
eb524d2cd86ce9666962c2a08658c5585be51043a2e6ac15eca0887596dd391ed9da3d9fbf04fe2dea614515cc5253579d198bb63e5cf36ff60a3bd26aa48807	CSE228	83	D	4
5462fb855decf30c26b60db5c72bf962fc3daf8b7ae059b86eb0723dda38fbb7580f43861ce9ab08088981000c52e8d4b5245c19956a9f437aa6f52402b78c0c	CSE228	135	B+	7
5e69f6c34ae10bc657b4ef9243018f9e2f033dbf8b9bf416a66c7f705e562e18fc138bc387047ac70f38daf0235671d59313e05e95313c97476fa17acc873ed5	CSE228	105	C	5
b75a701103fb75b9fc5a6831291cafba9963b023f471aa446a5856e1a0b533eeb3f99c13605e9396680d9602ea231ff13c7a9b7520af43b8f8b39e3208ffcc1e	CSE228	146	B+	7
882ec02fc74e118a203914af515d6126360b15abfb63e20e0041596a9f4ff2bbaa980c52660695ab3e829145992940dd215df200bafc28264dee9b9715fb6578	CSE228	140	B+	7
a528db9929aa497b118d985cdedb1d6dcf6f279f7c8dd6941ba68755367196bf2ece76de37f124ad02cc793913f37d6bb33a3045185623071641b4d3708223aa	CSE228	182	O	10
966c01d93d4cf28611620eca06456f7373cbeacd28edfea5b8de76ce36872ea9fabaedd7b33f4e47b374b4944dd8c469790be128ade9118dcbde486f1bc18522	CSE228	108	C	5
3d9993126e2affda32c24ba54a8e2f8eb7952dd32b28580b2ac2ffd2afb684a7354d9d00e0265011f6d0011961862b59b54691717911a0cf05c32c96e9df232b	CSE228	150	B+	7
b6917de83ae753098bd029fa62a6405cfe7d190765098cc16ac06fb7cad79192532263d942561bf747a7475c47ee9a43cf87ee4a711df9fe1e8ca560be7832c3	CSE228	146	B+	7
4cfe6f0a0104e0c16a49438406b6f6c0b36b88375a9f73230eb4ab5c829d95b19f6fa9a6dd1617641977ace11b713b8848521c6087ee55198c009db48a1b7bc0	CSE228	131	B	6
f1d8a3f5e1a717c225500acf3c383b1e8f273b8b6cca113c30a2ba1496168b5b1550940d0588d60ff4842beb68cbd663cb23b4e15a49fc1d5fb6a84f86675a73	CSE228	149	B+	7
57ef80f6208cd489f13adbb6731eb2fc47567ffe4c8019eb34f020a156150ea50fa0d49f63ce25f5e914d9c69ec4c7217641d622508d6371d516791ff85c88d1	CSE228	148	B+	7
a4f8c0a0084c11ba8256676fff196882e63f8264e5ac6edcc41e8ddd75ac8f8c47391583707f9a9b05121ea7167708e79cdda8e057c81dedb4931867328458a2	CSE228	165	A	8
b37f5b8a94d4f6750bc6c97e35ee2771aa2c40f8aad8015de71c9d956e501d1a4f95fd8c689aba64d23382c8a04f0030a8e832f3af1b713a2dd2167fd9a226d	CSE228	180	A+	9
37382c2a14e084129572a88cb33fc8f6fbf4e169d69094fd5f91d03c8298e340c502234181edf178108c7ebbadf2a9e5dd7c539ca18a7af4d465eb5117a30442	CSE228	127	B	6
6b7e155db9b0a066c4d4b8e581ef298cbcc748a42f49b30989965a01a12bdd37ad961688daf4e5d582f5ff6b88f1e19b89f0ebfcba5e0aa784ab26bc2717cd56	CSE228	101	C	5
e06f23b3f6f79b4c1ec5ef3eb884a733e11e47e7f0c555edacd899af7991dfd12b52fd74a494ef43af4d8dd1b0a42a12d262906c9497c2bfd1d11e85db40d754	CSE228	125	B	6
c3396c446d00862d69319e4906d8ec484d33a7f0d6ab23a121ad058f6f0f882407c690fa6e1616ba3ab84075877760f11bd2243cffd226e5314c9a578aaa4530	CSE228	143	B+	7
36a52caef3a549d3913e73d5c0845bec225eb3f32768cb030d99bc0500b33923717556f95bcc349b8cda7ddfb4366c48647a7a418711ebc81bcac4f408224f57	CSE228	139	B+	7
a84a37f360415b059bda89b78d49b85cae0640d11ef946462f14d609f38d9cb48ea5d07d0c7b4da5c6e2cd9285a42abb5efd58822fae74dae37f2b61042acb43	CSE228	168	A+	9
6887c710857dc433137ce215889985f1066b4339ff0d29eb079fed6b4cdb8127826ae73979ae359740fe05aacca55dd7f8b52f4a2faa3e409d6271248f9f67ce	CSE228	116	B	6
ce4089ba9bb4929be2bbcd8e145adfdc941e5c80f19c15a0400ad29e300e7888917dfa04c549fbe85b4686b6361b8df8ec71940fbdbca4ee056d99a2a0e09a2c	CSE228	112	C	5
62f999e661c6100b80cfee9b468d2f2b333f600b49bbd973bcc8c21dd3876fce221caf870260295eb53fd36f98bdae962eec55c8d2ae0ebce9022877b8318d25	CSE228	132	B	6
251ef579750783ef77f6ef73733338c47d00953a91073f2be1c7dd52e50ac5a9b48de5203449983d81e8fa01e10a04367c096723eb0f9de777dac718d918855c	CSE3114	114	D	4
251ef579750783ef77f6ef73733338c47d00953a91073f2be1c7dd52e50ac5a9b48de5203449983d81e8fa01e10a04367c096723eb0f9de777dac718d918855c	CSE3005	80	D	4
62a463a4a17145a8cf9ff2dd321d06215b09054a710996dfdfbf4d318350bd778310761dad48fe286c7e705efc8e19d056fa4c97e9b0a7a8b925b7db005e3e5b	CSE228	171	A+	9
d845af0969ee86fc16186c5a5e72b2f1befc844a783001bc776d23b7dab55cae62b52e6853f6046fcbf820eff7c709707af1b47851d3aeafaf13e9e86f93c518	CSE228	119	B	6
55e614c0aa56f370f49b114476423847ed76af30b59d145148de9341baa150c3bf47898d86693bb5ba32b216349d4df98b896a7c2f4d8763fdd82d20518fe27a	CSE228	147	B+	7
465926876d576e8878bb1fc9f09967b0ab50ecde994e85f1203d9acb1f9466208ce9a58e03f96ffc35dcc609ce1509adb52bccc5ab54314d024f88eaadacc0c	CSE228	126	B	6
55584b08fb090674c536d259b3c0591a1f086a25055c3436c291d290e2fa86d06bdcd7c7a6637f980c92f89a38345d2049f29561b00c0aa3e58cc56304132222	CSE228	98	C	5
e082e2d82e6d473cbfce9c2077ad21ca289c6eeef8412acf81a50b4ed0638470d870a3199eeb3b0a6d78c694d8ad6c1d16539cda6a02af7795ddde432fb75bce	CSE228	159	A	8
d0ee8559d950854a865b8db7960aee268c8074f1b6e35936c88fb45aba69a6dfef9312de8282362f468efbff8fbf2972937d24d5054aea3d31af4c1b8aa1c75e	CSE228	118	B	6
c47bed82ee29774bba7ebc825854a84d934a93c5c066326cf7a688d25db70a07cd39cb318807825c17afd3e8ecd99136689f2809e0c8f683010a1c5608ad1238	CSE228	123	B	6
a826faf703c4c66a63b358b7a82dfe31434ce1737f4fa0e144107ce349b9bcf867cd58b09b112e1681e733d739684525fbf4b7c5f02df3e134fdc224fa8e26fb	CSE228	163	A	8
df394503ff55969f270a2a7e4d4b7e408c421f1b7768025f20088842969b95be82324d674a41719ec9706f6288a92d82232c7e7893be0f0603a945671fd5a056	CSE228	139	B+	7
4b44bb43ac5bc39db0f439a65359d023ff47c1122663b022b0b5fb2f44c853d9dad6d9febaa6220f5d47bd5f2df6feb6061133d79b0d224337c82949c688c027	CSE228	130	B	6
11d5fb833358d4a0b5bd9bdf85cef8420fedf86c77f5cbee5a2a827f6de8685f5a095b376ab4d989f3cfa7146c2f76f136da393b56a89e1b643ca0fd7d85c865	CSE228	99	C	5
7498274d0a9e0ac82bfaa2ba7930f2199a295cec21d8c21cc07f530b453f0714c049e1be9a917f9274d7505a7ab67b7bdde7e96864e4fd0f8c17fb066786e98	CSE228	151	B+	7
afdc95b9e510466c45e3e07a0203acfc9f08ca9827f0b73eb5f21e73b23104e4897b8affbb188e9f7c86c43dc73ab5311e047f0ad23b592887bb423575a5f798	CSE228	117	B	6
b525046f7f2afdb93948454966e096a907e5f2763dd59f6d41c8e24fce97f11706f47b0dd2d3b14b8064dc5cbb418724329625dae4e23971af30ee303916baf5	CSE228	111	C	5
2a315ba11e5bacd4646670356b8a804dc8c7c443ca85cd58abb6de9dd6ca143a3dcedca17c931ba4696e62cb8959faa0c013f0e9d9495d10bf94aa15b503b172	CSE228	119	B	6
2e7cb4f09ed66c45945f5cd1420cf2165cab9c331cc5f15a6221677492f8cff697461772aee20b6215a13cf63beec86c214001ca0560ada8a978969c740a531d	CSE228	159	A	8
be32b61e3820b7e8d4e6b46c357456cb47925abaa6f0fb3b44d646b5c26239f39abd32dc2363da720d3b6e13237b1840c2fd753192416532bc3557b1f217d6c1	CSE228	105	C	5
dfee1b80c341ce11dc40bc825df2263562e9b45994e0762482f5ddeba32afdbdacfedfb38525eec8af97e310719a4acd15c98825604dc59d476adb0d2daa1fc1	CSE228	107	C	5
8ecb9fb34841f51d82cf43ea2d73bc11c236ea0dcb6da3eafd3781b5dcb6a7dde522ceeae26c6694672281ca8658e00a3fdd0c5440b1235b8f6e4f298fa79394	CSE228	89	D	4
fb1951f21c0e0ef9a063ea0dd8676649e75424250cf009fd595478c8091d56595cf196caaef9a96372c42c6dc0f8191212e7b8cc6626253dec061acd22373baa	CSE228	121	B	6
604fe27a544f1520aa1c58880c1ee884709506f50a9abdece4bcd59234bb0f79096f10d656fe76d393c5606ec4888a0e8ada52eb61b3514a6bb56d22826f0195	CSE228	154	A	8
2e71c454a325b2740e7a1c695ee28d20700dbc65b42c591eebacb8255b1308f49dd656f1920bd74c468641476487118ff0ee7d4c46cf54ebfe126d060565564d	CSE228	119	B	6
a7481101d11d049844ceabd934ae01b77f3cf0886be696a2de8c40182ef1623ca11ebfe1e97591b7eafae1a0f876bee8d60295fda4c24ac478aa2fd02959b94	CSE228	91	D	4
5b8f00c0781c3e874b34fb32c68a33f7ec8c48bede06d60660081acb4f93c45cdddd33f94a3d3f8536580942419c57dc997264ff7b2bca4cd1a43c51d7b94678	CSE228	102	C	5
561bbd7ac48267b31af347b94e87ba43b50731ed450c553a88c435dea51a7c941c8c2d4c51690bcf11a7c59f59cc1abc19721b62e18af42b0b22b32451cd1b37	CSE228	136	B+	7
ed21bd304cf4fbf9d4ba0496b5cc67948508488e1ffbd236dd848da6475a99de4c52bb2a7f6c2186e77988a58f56562235cea42fea6b4dd237876883f0c66c24	CSE228	160	A	8
dea4390252c18b96634aa71dd0ca577b7a0b96a534d4f56d2dfec45afa6d52b3816ec6bf3cfb51f222933e9191eda1436b392142396b7c69b0bf7058bedd2765	CSE228	88	D	4
4b5b4df81c3efb9984d703f4b4c88cda476c6ac75479a6b5c682616ea8d1138269afe9d537e4e2493ad34cbdc963ab8105f97e20bf998847b91482c54cd02ff7	CSE228	114	B	6
36783dd99c811ad948b061db86187e75c6a42a6749e301014545796e9c3f768be749a9ca615b80b13b885afa5d5b4ed595f3f50810867c47e7012cdb6659273e	CSE228	149	B+	7
5fe684f81746097774b92fa769dce73e52b9b03d3cf63539eced0b4ff9fc10a087f9addc0262d3403c5927eb426c9f58599c3f334cb792ce33c16ca04b61ff2d	CSE228	134	B+	7
8f7bf1a5b4a650c54bf9828f500fe6075159105dc1fbab1f30a1976177e0a1c02ffcc9a3beec7dac763ab4819a14133606e840a26a63f0a1223b040cf3494834	CSE228	120	B	6
649f35939bbb0df53ba730cd1fc8cc8eb60fec3841ddbdf2bdcf06d9e8b107e32a9003c34c4d89bb0c0b555df269dabb156fa18d7d33de2529c2afacdcda0dec	CSE228	102	C	5
1e5c261b72911b1df37bb1b4b2ed4df0dd408a8009a9ccd02b29508d82b6340f259bd0f7a44573949568aa86296c42a104fc71d630e4df082353aeac338d8b50	CSE228	125	B	6
776507273a4d5da55e244395e874a361ad081e7b3a61d3e9610b870c07c5ce4a02571976ff0177cd24d852c8970205f7e505074051a9b970650ba3047ef17cca	CSE228	147	B+	7
afb52c91e9b1647ef69ed31115764af21d2be3cb5c75dc39c2ae8d1960cd5b2b2d213f42d4239f3ec19c9f63d1ff1c775c920dd57aa3a7a874d59296df2eb2ca	CSE228	96	C	5
9f0c057cbafd12537a826133f246bb51fd918c22340a689d29845b9982ca44bd94c99a0a133afdf5d4ed314077290d674c07cb11d19dcdbb712884f725f4d7c6	CSE228	91	D	4
d7b7f63e4590f0b6a3e430077f3622e2ad6c61fab0843f866463d4510186bbbf2d366f8c264c6a2ddd82de0f7ef338a6096a158399cf896a04dee586dfbf6c21	CSE228	98	C	5
81b270d661bba22d154b7c065d50a40fb0d6f1ad83fadf618c946a9e4da9c06dbd103618b4dd0a024395ded071893582aa5a220378db1d306f6d0651f0c25472	CSE228	122	B	6
6c645a3a264e8aa4799f79e032bd714c5f2dbee9685c917e1dbd77e9800cef7407bda78ef5eadeeda069df854c7deb0e5486529d4f500af9525770cb9959016f	CSE228	101	C	5
